imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwH1PCJ6WrDKu-Q9EjtMKg39qNX1c7AWlB-lFfz6nmlc2ik_R3s8akqxvBeVWTbDcIG2OoMLb8oztyeWVISJMbKXj3RUpAuPjww5SzLSGBvGmjuqZ-lyGIQZ_zUmEnrtv0tC-x5=w408-h306-k-no,Innis & Gunn Brewery Taproom Glasgow City Centre,4.4,411,22-24 W Nile St,Glasgow,,GB,https://www.innisandgunn.com/taprooms/glasgow/city-centre,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Innis%20%26%20Gunn%20Brewery%20Taproom%20Glasgow%20City%20Centre&query_place_id=ChIJlU-L1wJHiEgRYOYSGmU5sXQ
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx88BmclXYTi_sFEVhUnMPKsPzZk7j-6KviykryLOnEvkRaKzAKkaGVBaJ0c2taZ6VRVEOYPH-ajzMgexmM0-oUmFGIR9p3DiDBy1YCmP2U5QRpPGiZhrf3TKGDOxevFtMhu2oe=w408-h306-k-no,WEST Brewery,4.3,1349,15 Binnie Pl,Glasgow,,GB,http://www.westbeer.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=WEST%20Brewery&query_place_id=ChIJu6AJZbBGiEgRbagmrixH9pg
,Crooked River Brewing Co.,5,7,"The Tractor Shed, Calva Brow",Workington,,GB,http://www.crooked-river.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Crooked%20River%20Brewing%20Co.&query_place_id=ChIJ63b17SrVfEgR8N_MabX9D2o
https://lh3.googleusercontent.com/p/AF1QipOZ5Oo0Jvhgc1S7xyl8Jaa1DoGz_9TBfwZ5-YAH=w426-h240-k-no,Tractor Shed Brewing,4.7,22,"The Tractor Shed, Calva Brow",Workington,,GB,http://tractor-shed.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Tractor%20Shed%20Brewing&query_place_id=ChIJdTwcJuErY0gR47oFLMYVgGY
https://lh3.googleusercontent.com/p/AF1QipM3EdJ40GYPrt1bD0pN-_uI92HpWyDuOMcmGc6D=w408-h306-k-no,Bullhouse Brew Co,4.6,25,23 Balmoral Rd,Belfast,,GB,http://www.bullhousebrewco.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Bullhouse%20Brew%20Co&query_place_id=ChIJJyOtwzALYUgRPhh1WThU8RI
https://lh3.googleusercontent.com/p/AF1QipMrHuzm7Pz_rtbzQ-7sxq7Hu6-2G2EJjLLMY_lz=w408-h271-k-no,Innis & Gunn Glasgow West End Brewery Taproom,4.4,1311,44 - 46 Ashton Ln,Glasgow,,GB,https://www.innisandgunn.com/taprooms/glasgow/west-end?utm_source=google&utm_medium=organic,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Innis%20%26%20Gunn%20Glasgow%20West%20End%20Brewery%20Taproom&query_place_id=ChIJ37VUWs5FiEgRy67MfE1fQkI
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhpDWEocRroOSdYfpXr00QsOABrRjh0aa734nypXeDYz1uaMsD9d-8WMgxDZcDbACqNtECJj-jw8I_eDSyquqb-vXNX-XM9A2vANBxK_gVq-gVDwAFM1BjujTVb0-N9a3iFnA=w408-h306-k-no,Keswick Brewing Co,4.7,94,Brewery Ln,Keswick,,GB,https://keswickbrewery.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Keswick%20Brewing%20Co&query_place_id=ChIJ_1PNLH3bfEgRlIWzONykhI0
https://lh3.googleusercontent.com/p/AF1QipNlrPlniqIs_HKvpb8CiQxM2Je6vDfas6LjhabD=w408-h313-k-no,Not That California Brewing Company,5,11,Braeview,Falkirk,,GB,https://notthatcalifornia.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Not%20That%20California%20Brewing%20Company&query_place_id=ChIJq0UcYE53iEgRsi2oKcssN0g
https://lh3.googleusercontent.com/p/AF1QipMzfyIMBVydAhyoBXFSppVnCUIhK9HZi0roly73=w408-h241-k-no,Shilling Brewing Company,4.5,769,92 W George St,Glasgow,,GB,https://www.shillingbrewingcompany.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Shilling%20Brewing%20Company&query_place_id=ChIJudQF1Z9GiEgRtYRnGBpIODc
https://lh3.googleusercontent.com/p/AF1QipM9tSeGwGX4IoCU91wM5sYqk4iqEhKfgkCOgLLr=w408-h378-k-no,UP FRONT BREWING,5,6,"Unit 2AA, Hamilton Road Industrial Estate",Strathaven,,GB,http://www.upfrontbrewing.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=UP%20FRONT%20BREWING&query_place_id=ChIJzbjMjTlBiEgRk0_c0kuAZLM
